Numero,Mot,example sentence (facile),Corrected Sentence,Indicateur
1,Bankrupt,"After several years of financial struggles, the company finally went bankrupt. / The police raided the illegal gambling den and busted the operation.",The concept of Bankrupt is widely used in various contexts.,Non modifié
2,bearish market,The bearish market led to widespread selling of stocks.,The bearish market led to widespread selling of stocks.,Non modifié
3,bullish market,Investors are optimistic about the future prospects in the bullish market.,Investors are optimistic about the future prospects in the bullish market.,Non modifié
4,cautious forecast,The company's cautious forecast reflected uncertainty in the market.,The company's cautious forecast reflected uncertainty in the market.,Non modifié
5,lasting upturn,The economy experienced a lasting upturn after several years of stagnation.,The economy experienced a lasting upturn after several years of stagnation.,Non modifié
6,lease,They signed a lease for the office space for five years.,They signed a lease for the office space for five years.,Non modifié
7,rent,The monthly rent for the apartment was due on the first of each month.,The monthly rent for the apartment was due on the first of each month.,Non modifié
8,risky decision,Investing in the volatile stock market is a risky decision.,Investing in the volatile stock market is a risky decision.,Non modifié
9,share,He owns shares in several technology companies.,He owns shares in several technology companies.,Modifié
10,subsidized sector,The government invested in renewable energy as part of its efforts to support the subsidized sector.,The government invested in renewable energy as part of its efforts to support the subsidized sector.,Non modifié
11,temporary fall,The company experienced a temporary fall in turnover due to the economic downturn.,The company experienced a temporary fall in turnover due to the economic downturn.,Non modifié
12,trade imbalance,The trade imbalance widened due to increased imports of foreign goods.,The trade imbalance widened due to increased imports of foreign goods.,Non modifié
13,turn-key project,They hired a contractor to handle the turn-key project from start to finish.,They hired a contractor to handle the turn-key project from start to finish.,Non modifié
14,Ability,His ability to learn quickly impressed the teacher.,His ability to learn quickly impressed the teacher.,Non modifié
15,Abroad,She's studying abroad for a semester.,She's studying abroad for a semester.,Non modifié
16,Absolutely,I absolutely agree with your assessment.,I absolutely agree with your assessment.,Non modifié
17,Accept,The company will accept applications until the end of the month.,The company will accept applications until the end of the month.,Non modifié
18,Access,Employees have access to the building using their ID cards.,Employees have access to the building using their ID cards.,Non modifié
19,Accessible,The new website is more accessible for users with disabilities.,The new website is more accessible for users with disabilities.,Non modifié
20,Accident,"I'm sorry, but the delay was caused by an accident on the road.","I'm sorry, but the delay was caused by an accident on the road.",Non modifié
21,Accommodate,The hotel can accommodate up to 200 guests.,The hotel can accommodate up to 200 guests.,Non modifié
22,Accommodation,The accommodation for the trip was arranged in advance.,The accommodation for the trip was arranged in advance.,Non modifié
23,Accomplish,"With hard work, you can accomplish anything you set your mind to.","With hard work, you can accomplish anything you set your mind to.",Non modifié
24,Accomplishment,Graduating from university was her greatest accomplishment.,Graduating from university was her greatest accomplishment.,Non modifié
25,According,"According to the schedule, the meeting starts at 10 AM.","According to the schedule, the meeting starts at 10 AM.",Non modifié
26,Accordingly,We've adjusted our plans accordingly.,We've adjusted our plans accordingly.,Non modifié
27,Account for,Can you account for all the missing inventory?,Can you account for all the missing inventory?,Non modifié
28,Accounting,She has a degree in accounting and works for a large firm.,She has a degree in accounting and works for a large firm.,Non modifié
29,Accurate,The measurements need to be accurate for the experiment to succeed.,The measurements need to be accurate for the experiment to succeed.,Non modifié
30,Achieve,"With determination, you can achieve your goals.","With determination, you can achieve your goals.",Non modifié
31,acknowledge,She acknowledged her mistake and apologized.,Acknowledge is important because she acknowledged her mistake and apologized.,Modifié
32,Acquire,The company plans to acquire several smaller firms.,The company plans to acquire several smaller firms.,Non modifié
33,Act,He'll act as the mediator in the negotiation.,He'll act as the mediator in the negotiation.,Non modifié
34,Actually,"Actually, I wasn't aware of the changes","Actually, I wasn't aware of the changes",Non modifié
35,Adapt,You need to adapt to different working environments.,You need to adapt to different working environments.,Non modifié
36,Adapter,The adapter allows you to connect different devices.,The adapter allows you to connect different devices.,Non modifié
37,Add up,I need to add up all the expenses to see if we stayed within the budget.,I need to add up all the expenses to see if we stayed within the budget.,Non modifié
38,Additional,We've made some additional changes to the plan.,We've made some additional changes to the plan.,Non modifié
39,Address,The mayor will address the citizens' concerns in his speech.,The mayor will address the citizens' concerns in his speech.,Non modifié
40,Adequate,The supplies should be adequate for the project.,The supplies should be adequate for the project.,Non modifié
41,Adjust,You'll need to adjust the settings for optimal performance.,You'll need to adjust the settings for optimal performance.,Non modifié
42,Adjustment,We made an adjustment to the schedule to accommodate everyone.,We made an adjustment to the schedule to accommodate everyone.,Non modifié
43,Administration,He works in administration at the university.,He works in administration at the university.,Non modifié
44,Admire,I admire your dedication to your work.,I admire your dedication to your work.,Non modifié
45,Admit,He was reluctant to admit his mistake.,He was reluctant to admit his mistake.,Non modifié
46,Admittance,The admittance fee covers entry to all attractions.,The admittance fee covers entry to all attractions.,Non modifié
47,Advance,I'll need to pay in advance to secure my booking.,I'll need to pay in advance to secure my booking.,Non modifié
48,Advanced,The new technology is more advanced than the previous model.,The new technology is more advanced than the previous model.,Non modifié
49,Advantage,One advantage of living in the city is the convenience.,One advantage of living in the city is the convenience.,Non modifié
50,Advantageous,The deal was advantageous for both parties.,The deal was advantageous for both parties.,Non modifié
51,Advertise,The company plans to advertise its new product on social media.,The company plans to advertise its new product on social media.,Non modifié
52,Advertisement,The advertisement for the new smartphone is very catchy.,The advertisement for the new smartphone is very catchy.,Non modifié
53,Advice,Can you give me some advice on how to improve my resume?,Can you give me some advice on how to improve my resume?,Non modifié
54,Advise,I advise you to take the job offer; it's a great opportunity.,I advise you to take the job offer; it's a great opportunity.,Non modifié
55,Affect,The change in policy will affect everyone in the company.,The change in policy will affect everyone in the company.,Non modifié
56,Afford,I can't afford to go on vacation this year.,I can't afford to go on vacation this year.,Non modifié
57,Affordable,The rent for the apartment is very affordable.,The rent for the apartment is very affordable.,Non modifié
58,Agency,The travel agency helped us plan our trip.,The travel agency helped us plan our trip.,Non modifié
59,Agenda,I'll need to check my agenda to see if I'm available on that date.,I'll need to check my agenda to see if I'm available on that date.,Non modifié
60,Agree,he stakeholders agree that the proposed approach is the best way forward.,he stakeholders agree that the proposed approach is the best way forward.,Non modifié
61,Agreeable,.She's always agreeable to new ideas.,.She's always agreeable to new ideas.,Non modifié
62,Agreement,We reached an agreement after lengthy negotiations,We reached an agreement after lengthy negotiations,Non modifié
63,Agricultural,The region is known for its agricultural products.,The region is known for its agricultural products.,Non modifié
64,Aid,The government provided aid to the flood victims.,The government provided aid to the flood victims.,Non modifié
65,Aim,Our aim is to provide excellent customer service.,Our aim is to provide excellent customer service.,Non modifié
