Numero,Mot,example sentence (facile),Corrected Sentence
1, Bankrupt,"After several years of financial struggles, the company finally went bankrupt. / The police raided the illegal gambling den and busted the operation.","After several years of financial struggles, the company finally went bankrupt. / The police raided the illegal gambling den and busted the operation."
2,bearish market,The bearish market led to widespread selling of stocks.,The bearish market led to widespread selling of stocks.
3,bullish market,Investors are optimistic about the future prospects in the bullish market.,Investors are optimistic about the future prospects in the bullish market.
4,cautious forecast,The company's cautious forecast reflected uncertainty in the market.,The company's cautious forecast reflected uncertainty in the market.
5,lasting upturn,The economy experienced a lasting upturn after several years of stagnation.,The economy experienced a lasting upturn after several years of stagnation.
6, lease,They signed a lease for the office space for five years.,They signed a lease for the office space for five years.
7,rent,The monthly rent for the apartment was due on the first of each month.,The monthly rent for the apartment was due on the first of each month.
8, risky decision,Investing in the volatile stock market is a risky decision.,Investing in the volatile stock market is a risky decision.
9,share,He owns shares in several technology companies.,He owns shares in several technology companies. (Ajout de 'share')
10,subsidized sector,The government invested in renewable energy as part of its efforts to support the subsidized sector.,The government invested in renewable energy as part of its efforts to support the subsidized sector.
11,temporary fall ,The company experienced a temporary fall in turnover due to the economic downturn.,The company experienced a temporary fall in turnover due to the economic downturn.
12, trade imbalance,The trade imbalance widened due to increased imports of foreign goods.,The trade imbalance widened due to increased imports of foreign goods.
13, turn-key project,They hired a contractor to handle the turn-key project from start to finish.,They hired a contractor to handle the turn-key project from start to finish.
14,Ability,His ability to learn quickly impressed the teacher.,His ability to learn quickly impressed the teacher.
15,Abroad,She's studying abroad for a semester.,She's studying abroad for a semester.
16,Absolutely,I absolutely agree with your assessment.,I absolutely agree with your assessment.
17,Accept,The company will accept applications until the end of the month.,The company will accept applications until the end of the month.
18,Access,Employees have access to the building using their ID cards.,Employees have access to the building using their ID cards.
19,Accessible,The new website is more accessible for users with disabilities.,The new website is more accessible for users with disabilities.
20,Accident,"I'm sorry, but the delay was caused by an accident on the road.","I'm sorry, but the delay was caused by an accident on the road."
21,Accommodate,The hotel can accommodate up to 200 guests.,The hotel can accommodate up to 200 guests.
22,Accommodation,The accommodation for the trip was arranged in advance.,The accommodation for the trip was arranged in advance.
23,Accomplish,"With hard work, you can accomplish anything you set your mind to.","With hard work, you can accomplish anything you set your mind to."
24,Accomplishment,Graduating from university was her greatest accomplishment.,Graduating from university was her greatest accomplishment.
25,According,"According to the schedule, the meeting starts at 10 AM.","According to the schedule, the meeting starts at 10 AM."
26,Accordingly,We've adjusted our plans accordingly.,We've adjusted our plans accordingly.
27,Account for,Can you account for all the missing inventory?,Can you account for all the missing inventory?
28,Accounting,She has a degree in accounting and works for a large firm.,She has a degree in accounting and works for a large firm.
29,Accurate,The measurements need to be accurate for the experiment to succeed.,The measurements need to be accurate for the experiment to succeed.
30,Achieve,"With determination, you can achieve your goals.","With determination, you can achieve your goals."
31,acknowledge ,She acknowledged her mistake and apologized.,She acknowledged her mistake and apologized. (Ajout de 'acknowledge ')
32,Acquire,The company plans to acquire several smaller firms.,The company plans to acquire several smaller firms.
33,Act,He'll act as the mediator in the negotiation.,He'll act as the mediator in the negotiation.
34,Actually,"Actually, I wasn't aware of the changes","Actually, I wasn't aware of the changes"
35,Adapt,You need to adapt to different working environments.,You need to adapt to different working environments.
36,Adapter,The adapter allows you to connect different devices.,The adapter allows you to connect different devices.
37,Add up,I need to add up all the expenses to see if we stayed within the budget.,I need to add up all the expenses to see if we stayed within the budget.
38,Additional,We've made some additional changes to the plan.,We've made some additional changes to the plan.
39,Address,The mayor will address the citizens' concerns in his speech.,The mayor will address the citizens' concerns in his speech.
40,Adequate,The supplies should be adequate for the project.,The supplies should be adequate for the project.
41,Adjust,You'll need to adjust the settings for optimal performance.,You'll need to adjust the settings for optimal performance.
42,Adjustment,We made an adjustment to the schedule to accommodate everyone.,We made an adjustment to the schedule to accommodate everyone.
43,Administration,He works in administration at the university.,He works in administration at the university.
44,Admire,I admire your dedication to your work.,I admire your dedication to your work.
45,Admit,He was reluctant to admit his mistake.,He was reluctant to admit his mistake.
46,Admittance,The admittance fee covers entry to all attractions.,The admittance fee covers entry to all attractions.
47,Advance,I'll need to pay in advance to secure my booking.,I'll need to pay in advance to secure my booking.
48,Advanced,The new technology is more advanced than the previous model.,The new technology is more advanced than the previous model.
49,Advantage,One advantage of living in the city is the convenience.,One advantage of living in the city is the convenience.
50,Advantageous,The deal was advantageous for both parties.,The deal was advantageous for both parties.
51,Advertise,The company plans to advertise its new product on social media.,The company plans to advertise its new product on social media.
52,Advertisement,The advertisement for the new smartphone is very catchy.,The advertisement for the new smartphone is very catchy.
53,Advice,Can you give me some advice on how to improve my resume?,Can you give me some advice on how to improve my resume?
54,Advise,I advise you to take the job offer; it's a great opportunity.,I advise you to take the job offer; it's a great opportunity.
55,Affect,The change in policy will affect everyone in the company.,The change in policy will affect everyone in the company.
56,Afford,I can't afford to go on vacation this year.,I can't afford to go on vacation this year.
57,Affordable,The rent for the apartment is very affordable.,The rent for the apartment is very affordable.
58,Agency,The travel agency helped us plan our trip.,The travel agency helped us plan our trip.
59,Agenda,I'll need to check my agenda to see if I'm available on that date.,I'll need to check my agenda to see if I'm available on that date.
60,Agree,he stakeholders agree that the proposed approach is the best way forward.,he stakeholders agree that the proposed approach is the best way forward.
61,Agreeable,.She's always agreeable to new ideas.,.She's always agreeable to new ideas.
62,Agreement, We reached an agreement after lengthy negotiations, We reached an agreement after lengthy negotiations
63,Agricultural,The region is known for its agricultural products.,The region is known for its agricultural products.
64,Aid,The government provided aid to the flood victims.,The government provided aid to the flood victims.
65,Aim, Our aim is to provide excellent customer service. , Our aim is to provide excellent customer service. 
66,Airline,Which airline are you flying with?,Which airline are you flying with?
67,Aisle, Please keep the aisle clear during the flight. , Please keep the aisle clear during the flight. 
68,Alarm," The fire alarm went off, and we had to evacuate the building."," The fire alarm went off, and we had to evacuate the building."
69,Allow,The rules allow for a certain level of flexibility.,The rules allow for a certain level of flexibility.
70,Alternative,The management team proposed an alternative strategy to cut costs without compromising the quality of our products.,The management team proposed an alternative strategy to cut costs without compromising the quality of our products.
71,Ambitious,She's very ambitious and has big plans for her career.,She's very ambitious and has big plans for her career.
72,Amend,We'll need to amend the contract before it's finalized.,We'll need to amend the contract before it's finalized.
73,amicable,They reached an amicable agreement after negotiations.,They reached an amicable agreement after negotiations.
74,Amount, Can you tell me the exact amount of money we have left?, Can you tell me the exact amount of money we have left?
75,Amusing,The comedian's jokes were amusing and kept the audience entertained.,The comedian's jokes were amusing and kept the audience entertained.
76,acute lack of new offices,"An acute lack of new offices has hindered the company's expansion plans, forcing them to seek temporary solutions.","An acute lack of new offices has hindered the company's expansion plans, forcing them to seek temporary solutions."
77,uncertainty on the given figures,We conducted a thorough analysis of the data.,We conducted a thorough analysis of the data.
78,Analysis,"The city is facing an acute lack of new offices, which is driving up rental prices.","The city is facing an acute lack of new offices, which is driving up rental prices. (Ajout de 'Analysis')"
79,Analyze,"There is some uncertainty on the given figures, so we need to analyze our calculations.","There is some uncertainty on the given figures, so we need to analyze our calculations."
80,Announcement,The company's announcement about the new product launch excited everyone.,The company's announcement about the new product launch excited everyone.
81,Annoying,The constant noise from the construction site was very annoying.,The constant noise from the construction site was very annoying.
82,Annual,We have an annual meeting every December to discuss our progress.,We have an annual meeting every December to discuss our progress.
83,Anticipate,We anticipate a significant increase in sales next quarter.,We anticipate a significant increase in sales next quarter.
84,Anxious,She felt anxious before her job interview.,She felt anxious before her job interview.
85,Apologize,I apologize for the mistake in your order.,I apologize for the mistake in your order.
86,Appeal,The charity made a heartfelt appeal for donations.,The charity made a heartfelt appeal for donations.
87,Appetizer,We enjoyed a delicious appetizer before the main course.,We enjoyed a delicious appetizer before the main course.
88,Appliance,The new kitchen appliance made cooking much easier.,The new kitchen appliance made cooking much easier.
89,Applicant,The applicant was well-qualified for the position.,The applicant was well-qualified for the position.
90,Application,She submitted her application for the scholarship.,She submitted her application for the scholarship.
91,Apply,You need to apply for the permit before starting the project.,You need to apply for the permit before starting the project.
92,Appointment,They appointed her as the new head of the department.,They appointed her as the new head of the department. (Ajout de 'Appointment')
93,appraisal,I have an appointment with the dentist tomorrow morning.,I have an appointment with the dentist tomorrow morning. (Ajout de 'appraisal')
94,appraise ,There's been an appreciable improvement in his performance.,There's been an appreciable improvement in his performance. (Ajout de 'appraise ')
95,Appreciable,The performance appraisal is conducted annually.,The performance appraisal is conducted annually. (Ajout de 'Appreciable')
96,Appreciate,The real estate agent will appraise the house before listing it for sale.,The real estate agent will appraise the house before listing it for sale. (Ajout de 'Appreciate')
97,Appreciation,I really appreciate all your help with the project.,I really appreciate all your help with the project. (Ajout de 'Appreciation')
98,Appreciative,She was very appreciative of the support she received.,She was very appreciative of the support she received.
99,Apprentice,The company hired an apprentice to learn and gain hands-on experience in the field,The company hired an apprentice to learn and gain hands-on experience in the field
100,Approach,He started as an apprentice and worked his way up to manager.,He started as an apprentice and worked his way up to manager. (Ajout de 'Approach')
101,Appropriate,Our approach to customer service sets us apart from our competitors.,Our approach to customer service sets us apart from our competitors. (Ajout de 'Appropriate')
102,appropriation,Wearing jeans might not be appropriate for a formal event.,Wearing jeans might not be appropriate for a formal event. (Ajout de 'appropriation')
103,approval,The project cannot proceed until we receive final approval from the board,The project cannot proceed until we receive final approval from the board
104,Approve,The board approved the new project proposal after a thorough review.,The board approved the new project proposal after a thorough review. (Ajout de 'Approve')
105,Approximate,The proposal received unanimous approval from the board.,The proposal received unanimous approval from the board. (Ajout de 'Approximate')
106,Arbitrate,Can you give me an approximate time of arrival?,Can you give me an approximate time of arrival? (Ajout de 'Arbitrate')
107,Area,They decided to arbitrate the dispute rather than go to court.,They decided to arbitrate the dispute rather than go to court. (Ajout de 'Area')
108,Argue,The park covers a large area of land.,The park covers a large area of land. (Ajout de 'Argue')
109,Argument,"We argue sometimes, but it never lasts long.","We argue sometimes, but it never lasts long. (Ajout de 'Argument')"
110,Arrange,There was a heated argument during the meeting.,There was a heated argument during the meeting. (Ajout de 'Arrange')
111,Arrangement,I'll arrange for someone to pick you up from the airport.,I'll arrange for someone to pick you up from the airport. (Ajout de 'Arrangement')
112,asking,We need to make some arrangements for the upcoming event.,We need to make some arrangements for the upcoming event. (Ajout de 'asking')
113,Assemble,nan,nan (Ajout de 'Assemble')
114,Assess,She was asking about the availability of the product.,She was asking about the availability of the product. (Ajout de 'Assess')
115,Assets,We need to assess the situation before making a decision.,We need to assess the situation before making a decision. (Ajout de 'Assets')
116,Assign,The company's assets include property and equipment.,The company's assets include property and equipment. (Ajout de 'Assign')
117,Assume,I'll assign someone to help you with the project.,I'll assign someone to help you with the project. (Ajout de 'Assume')
118,Assurance,Let's not assume anything until we have all the facts.,Let's not assume anything until we have all the facts. (Ajout de 'Assurance')
119,Attach,Please attach your resume to the job application.,Please attach your resume to the job application.
120,Attachment,The manager gave her assurance that the issue would be resolved promptly.,The manager gave her assurance that the issue would be resolved promptly. (Ajout de 'Attachment')
121,Attend,The email included an attachment with the meeting agenda.,The email included an attachment with the meeting agenda. (Ajout de 'Attend')
122,Attendance,nan,nan (Ajout de 'Attendance')
123,Attentively,She listened attentively to the speaker's presentation.,She listened attentively to the speaker's presentation.
124,Attract,The new marketing campaign is designed to attract younger customers.,The new marketing campaign is designed to attract younger customers.
125,Audience,The speaker captivated the audience with his PITCH,The speaker captivated the audience with his PITCH
126,Audit,The company undergoes an annual audit to ensure compliance.,The company undergoes an annual audit to ensure compliance.
127,Authority,The police have the authority to enforce the law.,The police have the authority to enforce the law.
