Mot,Thème,Translation,Synonym,Antonym,Definition (B1 Level),Difficulty Level,example sentence (facile),example sentence (moyen) B1 ,example sentence (advanced) 
 Bankrupt,Business\Finance,Faire faillite,Insolvent,Solvent,Bankrupt means that a company or individual cannot repay their debts.,B1,"After several years of financial struggles, the company finally went bankrupt. / The police raided the illegal gambling den and busted the operation.",The company went bankrupt after it failed to pay its debts.,"Despite the company's best efforts to restructure its debt, it ultimately went bankrupt, leaving creditors scrambling to recover their investments"
bearish market,Business\Stock Market,Un marché baissier,falling market,bullish market,A bearish market is a financial market characterized by falling prices and investor pessimism.,C1,The bearish market led to widespread selling of stocks.,"In a bearish market, stock prices are generally falling.","Amidst the bearish market, characterized by declining share prices and investor pessimism, companies adopted defensive strategies to protect their assets and maintain stability."
bullish market,Business\Stock Market,Un marché haussier,rising market,bearish market,A bullish market is a financial market characterized by rising prices and investor confidence.,C1,Investors are optimistic about the future prospects in the bullish market.,"In a bullish market, investors are confident and stock prices are rising.","The stock exchange experienced a bullish market, with investor optimism driving share prices to record highs and fostering a climate of economic confidence."
cautious forecast,Business\Economics,Une prévision prudente,conservative estimate,optimistic projection,A cautious forecast is a prediction about future events made with careful consideration and awareness of potential risks.,B2,The company's cautious forecast reflected uncertainty in the market.,The analyst gave a cautious forecast due to the economic uncertainty.,"Given the volatile market conditions, analysts issued a cautious forecast, advising investors to adopt a more conservative approach to mitigate potential risks."
lasting upturn,Business\Economics,Une hausse durable,sustained increase,temporary rise,A lasting upturn refers to a long-term improvement or increase in economic activity.,C1,The economy experienced a lasting upturn after several years of stagnation.,Experts predict a lasting upturn in the economy over the next few years.,"Economists are optimistic about a lasting upturn in the economy, driven by technological advancements, robust policy support, and resilient consumer confidence."
 lease,Business\Real Estate,Un bail,rental agreement,ownership,A lease is a contract granting use or occupation of property during a specified period in exchange for rent.,A2,They signed a lease for the office space for five years.,They decided to lease office space downtown instead of buying it.,"Securing a favorable lease for the new office location was instrumental in the company's expansion plans, providing the necessary infrastructure to support growth."
rent,Business\Real Estate,Un loyer,lease payment,ownership,A rent is a payment made by a tenant to a landlord in exchange for the use of property or land.,A1,The monthly rent for the apartment was due on the first of each month.,The rent for the new office is affordable and within our budget.,"The significant rise in commercial property rents prompted businesses to seek more cost-effective office spaces, balancing operational needs with financial prudence."
 risky decision,Business\Risk Management,Une décision risquée,perilous choice,safe decision,A risky decision is a choice or course of action that involves the possibility of loss or danger.,B1,Investing in the volatile stock market is a risky decision.,"Investing in that startup was a risky decision, but it paid off.","The CEO's decision to invest heavily in emerging markets was considered risky, but it ultimately paid off, yielding substantial returns and expanding the company's global footprint."
share,Business\Stock Market,Une part,stock,bond,A share represents ownership in a company and entitles the holder to a portion of the company's profits.,B1,He owns shares in several technology companies.,Each shareholder owns a share of the company.,"Acquiring a significant share of the market was a strategic priority for the company, achieved through innovative product offerings and aggressive marketing campaigns."
subsidized sector,Business\Economics,Un secteur subventionné,subsidized industry,non-subsidized sector,A subsidized sector is an industry or area of the economy that receives financial support from the government.,C1,The government invested in renewable energy as part of its efforts to support the subsidized sector.,The government provided financial support to the subsidized sector.,"Investment in the subsidized sector of renewable energy has increased, driven by government incentives and a growing emphasis on sustainability and environmental responsibility."
temporary fall ,Business\Finance,Une baisse temporaire du chiffre d'affaires,temporary decrease,permanent increase,A temporary fall in turnover refers to a short-term decrease in the amount of money earned by a business.,B2,The company experienced a temporary fall in turnover due to the economic downturn.,The company experienced a temporary fall in profits last quarter.,"The recent quarterly report indicated a temporary fall in turnover, which analysts attributed to seasonal fluctuations and short-term market disruptions rather than underlying weaknesses in the company's business model."
 trade imbalance,Business\Economics,Un déséquilibre commercial,trade deficit,trade surplus,A trade imbalance occurs when a country imports more goods and services than it exports.,B2,The trade imbalance widened due to increased imports of foreign goods.,The trade imbalance between imports and exports can affect the economy.,The persistent trade imbalance between the two countries necessitated a reevaluation of bilateral trade policies to promote more equitable economic relations.
 turn-key project,Business\Project Management,Un projet clé en main,ready-to-use project,do-it-yourself project,A turn-key project is a construction project that is completed to the point where it is ready for use by the buyer or tenant.,B2 ,They hired a contractor to handle the turn-key project from start to finish.,"They offered a turn-key project, delivering a complete and ready-to-use facility.","The construction firm successfully delivered a turn-key project, providing a fully operational facility that met all specifications and client requirements upon completion."
Ability,Professional Skills\Project Management,Capacité,Capability,Inability,The capacity to do something.,A1,His ability to learn quickly impressed the teacher.,Her ability to solve problems quickly makes her a valuable team member.,"The consulting firm showcased its ability to deliver tailored solutions to multinational clients, leveraging its global expertise and local insights to navigate complex business challenges."
