Category,Business Terms,Example Sentence
Finance and Economics,Finance,Finance is the management of money.
Finance and Economics,Economics,Economics studies how wealth is created and distributed.
Finance and Economics,Economic indicators,Economic indicators help measure a country's financial health.
Inflation and Unemployment,Inflation,Inflation causes prices to rise over time.
Inflation and Unemployment,Unemployment,Unemployment rates have increased this year.
Inflation and Unemployment,Labour shortages,Labour shortages impact industries worldwide.
Trade,Trade surplus,A trade surplus means more exports than imports.
Trade,Trade deficit,A trade deficit means a country imports more than it exports.
Trade,Trade gap,The trade gap widened due to increased imports.
Trade,Balance of payments,The balance of payments measures international transactions.
Growth and GDP,GDP,GDP measures the total economic output of a country.
Growth and GDP,Economic growth,Economic growth means increased production and consumption.
Growth and GDP,Growth rate,The growth rate of the economy is 3% this year.
Stock Market Movements,Stock prices,Stock prices fluctuate daily.
Stock Market Movements,Market surge,A market surge happens when stock values increase.
Stock Market Movements,Market drop,A market drop is when stock values decline rapidly.
Boom and Bust,Recession,The economy entered a recession last quarter.
Boom and Bust,Depression,A depression is a long-lasting economic downturn.
Boom and Bust,Economic slump,An economic slump is a period of low business activity.
Wrongdoing and Corruption,Regulation,Regulation ensures fair business practices.
Wrongdoing and Corruption,Market abuse,Market abuse includes insider trading and manipulation.
Wrongdoing and Corruption,Price fixing,Price fixing occurs when companies set prices unfairly.
Fraud and Embezzlement,Fraud,Fraud involves deceiving people for financial gain.
Fraud and Embezzlement,Counterfeiting,Counterfeiting produces fake goods or currency.
Fraud and Embezzlement,Money laundering,Money laundering hides the illegal origins of money.
Business Ethics,Business ethics,Business ethics involve fairness and honesty in work.
Business Ethics,Corporate social responsibility,Corporate social responsibility focuses on ethical business practices.
Business Ethics,Discrimination,Discrimination in the workplace is illegal.
Time and Management,Time management,Time management helps improve efficiency at work.
Time and Management,Scheduling,Scheduling ensures tasks are completed on time.
Time and Management,Project deadlines,Project deadlines must be met to avoid delays.
Stress and Work-life Balance,Work-life balance,Work-life balance is important for employee well-being.
Stress and Work-life Balance,Burnout,Burnout results from excessive workplace stress.
Stress and Work-life Balance,Stress management,Stress management techniques help reduce anxiety.
Leadership and Management,Leadership,Leadership requires vision and decision-making skills.
Leadership and Management,Empowerment,Empowerment allows employees to make decisions.
Leadership and Management,Decision-making,Decision-making is key to effective management.
