Category,Business Terms,Example Sentence
Work and Jobs,Work,I work in a big company.
Work and Jobs,Job,She loves her job as a manager.
Work and Jobs,Full-time job,He has a full-time job at a bank.
Work and Jobs,Part-time job,She works a part-time job in the evening.
Work and Jobs,Temporary job,This is just a temporary job for six months.
Work and Jobs,Office worker,He is an office worker in a large corporation.
Recruitment and Selection,Recruitment,The company is recruiting new employees.
Recruitment and Selection,Recruitment agencies,Recruitment agencies help companies find employees.
Recruitment and Selection,Agency,An agency provides services to businesses.
Recruitment and Selection,Headhunters,Headhunters look for talented professionals.
Recruitment and Selection,Employment agencies,Employment agencies match job seekers with employers.
Recruitment and Selection,Application,You need to fill out an application for this job.
Recruitment and Selection,Apply for a job,She applied for a job online.
Skills and Qualifications,Qualifications,She has the qualifications for this role.
Skills and Qualifications,Training,He is training to become a programmer.
Skills and Qualifications,Graduate,"After university, she became a graduate."
Skills and Qualifications,In-house training,The company offers in-house training sessions.
Skills and Qualifications,Work experience,He gained a lot of work experience over the years.
Skills and Qualifications,Management development,Management development programs help leaders grow.
Pay and Benefits,Salary,Her salary is paid every month.
Pay and Benefits,Basic salary,"His basic salary is $3,000 per month."
Pay and Benefits,Benefits package,The benefits package includes health insurance.
Pay and Benefits,Perks,One of the perks is free coffee at work.
Pay and Benefits,Minimum wage,The minimum wage in this country is increasing.
Pay and Benefits,Commission,He earns a commission for every sale he makes.
Pay and Benefits,Fringe benefits,The company offers fringe benefits like gym memberships.
Pay and Benefits,Health plan,Her health plan covers medical expenses.
Pay and Benefits,Pension,He receives a pension after retirement.
People and Workplaces,Management,The management team makes important decisions.
People and Workplaces,Workforce,The company has a workforce of 500 people.
People and Workplaces,Employee,Each employee receives training.
People and Workplaces,Personnel,The personnel department manages recruitment.
People and Workplaces,White-collar workers,White-collar workers usually work in offices.
People and Workplaces,Blue-collar workers,Blue-collar workers do manual labor.
Management and Administration,Office,His office is on the 10th floor.
Management and Administration,Headquarters,The company’s headquarters is in New York.
Management and Administration,Open-plan offices,Open-plan offices are popular in tech companies.
Management and Administration,Administration,The administration team handles paperwork.
Management and Administration,Support staff,Support staff assist in daily tasks.
Management and Administration,Technical support,Technical support helps customers with issues.
Labour and Employment,Labour,Labour costs are high in this industry.
Labour and Employment,Labour costs,The labour dispute led to a strike.
Labour and Employment,Labour dispute,The labour leader spoke at the meeting.
Labour and Employment,Labour leader,Trade unions protect workers' rights.
