Category,Business Terms,Example Sentence
Jobs,IT technician,Could you call the IT technician to fix my computer?
Jobs,CEO,The CEO announced a new strategy for the company.
Jobs,Job seeker,Job seekers need to prepare well for interviews.
Jobs,Security guard,Please show your ID to the security guard before entering the site.
Jobs,Maintenance crew,The maintenance crew works 24/7 to fix machinery.
Jobs,Office manager,The office manager is responsible for scheduling and organizing.
Jobs,Account manager,An account manager maintains relationships with key clients.
Jobs,Intern,The new intern is doing well in her role.
Jobs,Board member,The board members attended the annual meeting.
Jobs,Graphic designer,A graphic designer must be creative.
Human Resources,Staff attendance,The HR team monitors staff attendance.
Human Resources,Give notice,Employees must give notice before leaving.
Human Resources,Appraisal,He received a positive appraisal this year.
Human Resources,Resume,She sent her resume to multiple companies.
Human Resources,Reference,Please provide a reference when applying.
Human Resources,Shortlisted,She was shortlisted for the job.
Human Resources,Recruitment,Recruitment is a key function in HR.
Human Resources,Manpower,The company needs more manpower to meet demand.
Human Resources,Clock in,Employees must clock in by 9 AM.
Human Resources,Lay off,The company had to lay off 20 employees.
Contracts & Salaries,Freelance contract,Many workers prefer a freelance contract.
Contracts & Salaries,Hourly wage,He is paid an hourly wage.
Contracts & Salaries,Overtime,Overtime is paid at a higher rate.
Contracts & Salaries,Pay slip,Check your pay slip for salary details.
Contracts & Salaries,Trial period,The new employee is in a 6-week trial period.
Contracts & Salaries,Perks,Company perks include free lunch and gym access.
Contracts & Salaries,Benefits,The benefits package includes health insurance.
Contracts & Salaries,Incentive,Bonuses act as an incentive for employees.
Contracts & Salaries,Agreement,The two companies signed an agreement.
Contracts & Salaries,Grievance,Employees can file a grievance if they have complaints.
Work Events,Employee of the month,John was voted employee of the month.
Work Events,Promotion,She got a promotion after a year.
Work Events,Fundraiser,The company held a fundraiser for charity.
Work Events,Retirement reception,They organized a retirement reception for Mr. Smith.
Work Events,Flip chart,Use a flip chart for presentations.
Work Events,Convention,She attended a business convention in Paris.
Work Events,Outing,The team had an outing at the beach.
Work Events,Chair a meeting,She was chosen to chair the meeting.
Work Events,Take early retirement,He decided to take early retirement.
Work Events,Take minutes,Please take minutes during the meeting.
Category,Business Terms,Example Sentence
Jobs,IT technician,Could you call the IT technician
Jobs,Security guard,Please show your ID to the security guard
Jobs,Job seeker,There are fewer job seekers than before
Jobs,Contractor,She works as a contractor
Jobs,Intern,The new intern is doing well
Human Resources & Recruitment,Staff attendance,Staff attendance is low
Human Resources & Recruitment,Temp agency,A temp agency offers annual leave
Human Resources & Recruitment,Clock in,You must clock in on time
Human Resources & Recruitment,Resume,Send your resume for the position
Human Resources & Recruitment,Provide a reference,Be ready to provide a reference
Category,Business Terms,Example Sentence
Workplace Environment,Open space,Many companies prefer an open space office
Workplace Environment,Cubicle,He works in a small cubicle
Workplace Environment,Co-working space,The startup rents a co-working space
Workplace Environment,Meeting room,The team is in the meeting room
Workplace Environment,Office supplies,She ordered new office supplies
Workplace Environment,Break room,Employees relax in the break room
Workplace Environment,Reception desk,Visitors check in at the reception desk
Workplace Environment,Workstation,He set up his workstation in the corner
Workplace Environment,Air conditioning,The office has air conditioning
Workplace Environment,Printer,The printer is out of paper
Workplace Equipment,Headset,The call center employees use a headset
Workplace Equipment,Whiteboard,The manager wrote ideas on the whiteboard
Workplace Equipment,Projector,They used a projector for the presentation
Workplace Equipment,Ergonomic chair,An ergonomic chair prevents back pain
Workplace Equipment,Standing desk,Some employees prefer a standing desk
Workplace Equipment,Filing cabinet,The contracts are in the filing cabinet
Workplace Equipment,Scanner,Scan the document with the scanner
Workplace Equipment,Office phone,The office phone is ringing
Workplace Equipment,Security badge,Employees enter using a security badge
Workplace Equipment,Surveillance camera,The surveillance camera records the entrance
Workplace Communication,Internal memo,An internal memo was sent to all employees
Workplace Communication,Company newsletter,The company newsletter is published monthly
Workplace Communication,Email thread,The email thread is too long
Workplace Communication,Voicemail,He left a voicemail for the manager
Workplace Communication,Video conference,The meeting was held by video conference
Workplace Communication,Phone extension,Call me at my phone extension
Workplace Communication,Instant messaging,We use instant messaging for quick updates
Workplace Communication,Notice board,The notice board displays announcements
