Category,Theme,Sub-theme,Business Term,Example Sentence
Health,At the Doctor's,Medical Consultation,General Practitioner,Visit a general practitioner.
Health,At the Doctor's,Medical Consultation,Specialist Referral,Ask for a specialist referral.
Health,At the Doctor's,Medical Procedures,Blood Test,Get a blood test.
Health,At the Doctor's,Medical Procedures,MRI Scan,Schedule an MRI scan.
Health,At the Doctor's,Medical Conditions,Chronic Disease,Manage chronic disease.
Health,At the Doctor's,Medical Conditions,Acute Illness,Treat an acute illness.
Health,At the Doctor's,Medical Treatment,Prescription Renewal,Request a prescription renewal.
Health,At the Doctor's,Medical Treatment,Dosage Adjustment,Adjust medication dosage.
Health,At the Doctor's,Symptoms,High Fever,Monitor high fever.
Health,At the Doctor's,Symptoms,Chest Pain,Report chest pain.
Health,Other Health Professionals,Eye Care,Optometrist,See an optometrist.
Health,Other Health Professionals,Eye Care,Contact Lenses,Use contact lenses.
Health,Other Health Professionals,Dentistry,Orthodontist,Visit an orthodontist.
Health,Other Health Professionals,Dentistry,Dental Implant,Get a dental implant.
Health,Other Health Professionals,Physiotherapy,Physical Rehabilitation,Start physical rehabilitation.
Health,Other Health Professionals,Physiotherapy,Posture Correction,Practice posture correction.
Health,Other Health Professionals,Surgery,Plastic Surgery,Consider plastic surgery.
Health,Other Health Professionals,Surgery,Laparoscopic Procedure,Undergo a laparoscopic procedure.
Health,Other Health Professionals,Nutrition,Registered Dietitian,Consult a registered dietitian.
Health,Other Health Professionals,Nutrition,Macronutrient Balance,Maintain macronutrient balance.
Health,At the Pharmacy,Medication Types,Over-the-counter Drugs,Buy over-the-counter drugs.
Health,At the Pharmacy,Medication Types,Prescription Drugs,Take prescription drugs.
Health,At the Pharmacy,Medication Instructions,Side Effects Warning,Read side effects warning.
Health,At the Pharmacy,Medication Instructions,Drug Interactions,Avoid drug interactions.
Health,At the Pharmacy,Medication Forms,Capsules,Swallow capsules.
Health,At the Pharmacy,Medication Forms,Topical Cream,Apply topical cream.
Health,At the Pharmacy,Pain Management,Anti-inflammatory Drugs,Use anti-inflammatory drugs.
Health,At the Pharmacy,Pain Management,Opioid Analgesics,Take opioid analgesics.
Health,At the Pharmacy,Supplements,Probiotics,Consume probiotics.
Health,At the Pharmacy,Supplements,Omega-3 Fatty Acids,Take omega-3 fatty acids.
Health,Healthy Living,Fitness,Cardiovascular Exercise,Do cardiovascular exercise.
Health,Healthy Living,Fitness,Strength Training,Practice strength training.
Health,Healthy Living,Mental Health,Stress Management,Learn stress management.
Health,Healthy Living,Mental Health,Cognitive Behavioral Therapy,Try cognitive behavioral therapy.
Health,Healthy Living,Nutrition,Caloric Deficit,Maintain caloric deficit.
Health,Healthy Living,Nutrition,Meal Planning,Follow meal planning.
Health,Healthy Living,Workplace Wellness,Ergonomic Desk Setup,Use ergonomic desk setup.
Health,Healthy Living,Workplace Wellness,Mental Health Days,Take mental health days.
Health,Healthy Living,Public Health,Vaccination Programs,Join vaccination programs.
Health,Healthy Living,Public Health,Smoking Cessation,Start smoking cessation.
Health, At the Doctor’s, Medical Consultation, Physician, A physician diagnoses and treats illnesses.
Health, At the Doctor’s, Medical Consultation, Nurse, A nurse provides patient care and assists doctors.
Health, At the Doctor’s, Medical Consultation, Health Insurance, Health insurance helps cover medical expenses.
Health, At the Doctor’s, Medical Consultation, Co-Pay, A co-pay is a fixed amount paid for medical services.
Health, At the Doctor’s, Medical Treatment, Medication, Medication helps treat various medical conditions.
Health, At the Doctor’s, Medical Treatment, Tablet, Tablets are a common form of oral medication.
Health, At the Doctor’s, Medical Treatment, Prescription, A prescription is required for certain medications.
Health, At the Doctor’s, Medical Examination, Checkup, A checkup helps detect health issues early.
Health, At the Doctor’s, Medical Examination, Illness, Illnesses require medical attention and treatment.
Health, At the Doctor’s, Workplace Health, Sick Leave, Employees take sick leave when unwell.
Health, At the Doctor’s, Hospitalization, Ward, A hospital ward accommodates patients.
Health, At the Doctor’s, Hospitalization, Outbreak, An outbreak occurs when a disease spreads rapidly.
Health, At the Doctor’s, Medical Procedure, Blood Pressure, Blood pressure is a key health indicator.
Health, At the Doctor’s, Medical Procedure, Injury, Injuries require prompt medical attention.
Health, At the Doctor’s, Medical Procedure, Headache, Headaches can be a symptom of stress.
Health, Other Health Professionals, Medical Specialties, Dentist, A dentist treats teeth and gum problems.
Health, Other Health Professionals, Medical Specialties, Dietician, A dietician advises on nutrition.
Health, Other Health Professionals, Medical Specialties, Surgeon, A surgeon performs medical operations.
Health, Other Health Professionals, Medical Specialties, Optician, An optician prescribes and fits glasses.
Health, Other Health Professionals, Medical Specialties, Physical Therapy, Physical therapy helps restore mobility.
Health, Other Health Professionals, Emergency Care, Emergency Services, Emergency services provide urgent medical care.
Health, At the Pharmacy, Medication Types, Over-the-Counter (OTC), OTC drugs can be bought without a prescription.
Health, At the Pharmacy, Medication Types, Side Effects, Medications can cause side effects.
Health, At the Pharmacy, Medication Types, Dosage, Following dosage instructions ensures safe use.
Health, At the Pharmacy, Medication Types, Interaction, Drug interactions can be harmful.
Health, At the Pharmacy, Medical Condition, Swollen, Swelling can indicate an allergic reaction.
Health, At the Pharmacy, Medical Treatment, Relieve, Some medications relieve pain effectively.
Health, Healthy Living, Workplace Health, Occupational Health Doctor, Occupational health doctors monitor workplace health.
Health, Healthy Living, Wellness, Well-being, Well-being contributes to overall health.
Health, Healthy Living, Nutrition, Balanced Diet, A balanced diet provides essential nutrients.
Health, Healthy Living, Nutrition, Junk Food, Junk food is high in calories but low in nutrition.
Health, Healthy Living, Workplace Health, Ergonomic, Ergonomic furniture reduces workplace injuries.
Health, Healthy Living, Workplace Health, Absenteeism, Absenteeism impacts workplace productivity.
Health, Healthy Living, Nutrition, Special Diet, A special diet is necessary for certain health conditions.
Health, Healthy Living, Mental Health, Counseling, Counseling supports mental well-being.
Health, Healthy Living, Workplace Health, Resilient, Resilient employees handle stress better.
Health, Healthy Living, Exercise, Team Sport, Team sports encourage physical activity.
Health, At the Doctor’s, Medical Consultation, General Checkup, A general checkup helps detect health issues early.
Health, At the Doctor’s, Medical Consultation, Physical Examination, The doctor performed a physical examination.
Health, At the Doctor’s, Medical Consultation, Symptoms Assessment, The nurse assessed my symptoms before the consultation.
Health, At the Doctor’s, Diagnosis & Tests, X-Ray, The doctor ordered an X-ray for my broken arm.
Health, At the Doctor’s, Diagnosis & Tests, MRI Scan, The MRI scan showed a knee injury.
Health, At the Doctor’s, Diagnosis & Tests, Blood Test, A blood test can check for infections.
Health, At the Doctor’s, Diagnosis & Tests, Allergy Test, She had an allergy test for pollen sensitivity.
Health, At the Doctor’s, Treatment, Prescription Medication, The doctor gave me a prescription medication.
Health, At the Doctor’s, Treatment, Pain Management, He is on pain management for his back injury.
Health, At the Doctor’s, Treatment, Physiotherapy, Physiotherapy helped me recover from surgery.
Health, At the Doctor’s, Treatment, Surgery, The patient underwent surgery for appendicitis.
Health, At the Doctor’s, Treatment, Wound Dressing, The nurse changed my wound dressing.
Health, At the Doctor’s, Treatment, Bandage, He wrapped the bandage around his ankle.
