Category,Business Terms,Example Sentence
Pricing,Low-priced,This phone is low-priced compared to others.
Pricing,Expensive,Luxury cars are expensive.
Pricing,Cheap,This store sells cheap clothes.
Pricing,Discounting,They are discounting old stock.
Pricing,Price war,Supermarkets are in a price war.
Pricing,Price hike,There was a sudden price hike in fuel.
Marketing and Sales,Advertising,They launched a new advertising campaign.
Marketing and Sales,Commercial,The commercial aired during the Super Bowl.
Marketing and Sales,Salesperson,The salesperson demonstrated the product.
Marketing and Sales,Sales forecast,They revised the sales forecast.
Marketing and Sales,Sales growth,The company experienced sales growth.
Marketing and Sales,Turnover,The company’s turnover reached $1M.
E-Commerce,E-commerce,E-commerce has changed shopping habits.
E-Commerce,B2C (Business-to-Consumer),Amazon operates in B2C e-commerce.
E-Commerce,Social networking,Social networking helps businesses grow.
E-Commerce,Online selling,Online selling is growing fast.
Sales and Costs,Sales revenue,Sales revenue increased this quarter.
Sales and Costs,Sales meeting,The sales meeting focused on targets.
Sales and Costs,Sales director,The sales director oversees sales strategy.
Sales and Costs,Sales volume,The company increased its sales volume.
Profitability,Profit-making,The company is profit-making.
Profitability,Loss-making,The startup is loss-making.
Profitability,Break-even point,They reached the break-even point.
Profitability,Cash cow,A cash cow generates steady income.
Finance and Payments,Invoice,The company sent an invoice to the client.
Finance and Payments,Trade credit,Trade credit allows delayed payments.
Finance and Payments,Cashflow,Managing cashflow is essential.
Finance and Payments,Debt,Debt affects financial stability.
Finance and Payments,Accounts payable,Accounts payable lists suppliers to pay.
Assets & Balance Sheet,Balance sheet,The balance sheet summarizes financials.
Assets & Balance Sheet,Fixed assets,The company owns fixed assets like buildings.
Assets & Balance Sheet,Depreciation,Depreciation reduces asset value.
Assets & Balance Sheet,Liabilities,Liabilities include debts and loans.
Business Across Cultures,Culture,Culture influences the way business is done.
Business Across Cultures,Belief,Beliefs shape company values.
Business Across Cultures,Stereotype,Stereotypes can be misleading.
Power and Distance,Power-distance,Power-distance measures authority gaps in business.
Power and Distance,Low power-distance culture,Low power-distance cultures involve employees in decision-making.
Power and Distance,High power-distance culture,High power-distance cultures emphasize hierarchy.
Power and Distance,Hierarchy,Hierarchy structures a company’s management.
Power and Distance,Deference,Deference means showing respect in communication.
Individualism and Collectivism,Individualism,Individualism focuses on personal achievements.
Individualism and Collectivism,Collectivism,Collectivism emphasizes group loyalty.
Individualism and Collectivism,Loyalty,Loyalty to a company can ensure job security.
Time and Work-life Balance,Work-life balance,Work-life balance improves productivity.
Time and Work-life Balance,Burnout,Burnout results from excessive work stress.
Time and Work-life Balance,Presenteeism,Presenteeism affects employee efficiency.
Cross-cultural Communication,Eye contact,Eye contact builds trust in conversations.
Cross-cultural Communication,Gestures,Gestures convey emotions in business communication.
Cross-cultural Communication,Physical contact,Physical contact varies across cultures.
Telephoning,Landline,A landline is common in office settings.
Telephoning,Mobile phone,Mobile phones allow business communication anywhere.
Telephoning,Voicemail,Voicemail stores messages for later retrieval.
Telephoning,Videoconferencing,Videoconferencing connects teams remotely.
Meetings and Business Communication,Agenda,An agenda outlines meeting topics.
Meetings and Business Communication,Meeting minutes,Meeting minutes record discussions and decisions.
Meetings and Business Communication,Chairperson,A chairperson leads formal business meetings.
Presentations,Presentation,A good presentation engages the audience.
Presentations,Audience interaction,Audience interaction makes presentations effective.
Presentations,Public speaking,Public speaking is essential in business.
Presentations,Visual aids,Visual aids improve understanding of presentations.
Negotiations,Bargaining,Bargaining helps in negotiating business deals.
Negotiations,Counter-offer,A counter-offer adjusts negotiation terms.
Negotiations,Win-win solution,A win-win solution benefits all parties.
Negotiations,Compromise,Compromise is key in business agreements.
Agreements and Contracts,Contract,A contract defines business obligations.
Agreements and Contracts,Legally-binding,A legally-binding agreement must be honored.
Agreements and Contracts,Settlement,A settlement resolves business disputes.
Accounting,Accountant,The accountant prepares financial reports.
Accounting,Auditor,An auditor checks the company’s accounts.
Accounting,Book-keeper,The book-keeper records financial transactions.
Accounting,Audit,The company had its yearly audit.
Accounting,Creative Accounting,Creative accounting made the losses look smaller.
Financial Reporting,Financial Results,Financial results were announced last week.
Financial Reporting,Annual Report,The annual report shows the company’s performance.
Financial Reporting,Fiscal Year,The fiscal year starts in April.
Capital and Investment,Capital,The company needs capital to expand.
Capital and Investment,Investment,Investment in technology helped the business grow.
Capital and Investment,Stake,He holds a 10% stake in the company.
Shares and Loans,Shareholder,Shareholders receive dividends every year.
Shares and Loans,Stock,Tesla stock price increased this month.
Shares and Loans,Dividends,The company paid dividends to investors.
Shares and Loans,Equity,Equity represents ownership in a company.
Debt and Financial Issues,Debt,The company has a large debt to repay.
Debt and Financial Issues,Interest,The bank charges high interest on loans.
Debt and Financial Issues,Borrowing,Borrowing has increased due to low interest rates.
Mergers and Takeovers,Merger,The two companies agreed to a merger.
Mergers and Takeovers,Acquisition,They completed the acquisition of a competitor.
Mergers and Takeovers,Takeover,A takeover bid was rejected by the board.
Bankruptcy and Liquidation,Bankruptcy,The company filed for bankruptcy.
Bankruptcy and Liquidation,Liquidation,The firm is in liquidation.
Bankruptcy and Liquidation,Receivership,A receiver was appointed to manage the assets.
Financial Markets,Stock Market,The stock market fluctuates daily.
Financial Markets,Bonds,Government bonds are considered safe investments.
Financial Markets,Commodities Exchange,The commodities exchange deals with raw materials.
Stock Trading,Bull Market,The market is currently in a bull market.
Stock Trading,Bear Market,A bear market means falling stock prices.
Stock Trading,Market Index,The market index tracks stock performance.
Stock Trading,Trading,Stock trading is very volatile today.
Finance and Economics,Finance,Finance is the management of money.
Finance and Economics,Economics,Economics studies how wealth is created and distributed.
Finance and Economics,Economic indicators,Economic indicators help measure a country's financial health.
Inflation and Unemployment,Inflation,Inflation causes prices to rise over time.
Inflation and Unemployment,Unemployment,Unemployment rates have increased this year.
Inflation and Unemployment,Labour shortages,Labour shortages impact industries worldwide.
Trade,Trade surplus,A trade surplus means more exports than imports.
Trade,Trade deficit,A trade deficit means a country imports more than it exports.
Trade,Trade gap,The trade gap widened due to increased imports.
Trade,Balance of payments,The balance of payments measures international transactions.
Growth and GDP,GDP,GDP measures the total economic output of a country.
Growth and GDP,Economic growth,Economic growth means increased production and consumption.
Growth and GDP,Growth rate,The growth rate of the economy is 3% this year.
Stock Market Movements,Stock prices,Stock prices fluctuate daily.
Stock Market Movements,Market surge,A market surge happens when stock values increase.
Stock Market Movements,Market drop,A market drop is when stock values decline rapidly.
Boom and Bust,Recession,The economy entered a recession last quarter.
Boom and Bust,Depression,A depression is a long-lasting economic downturn.
Boom and Bust,Economic slump,An economic slump is a period of low business activity.
Wrongdoing and Corruption,Regulation,Regulation ensures fair business practices.
Wrongdoing and Corruption,Market abuse,Market abuse includes insider trading and manipulation.
Wrongdoing and Corruption,Price fixing,Price fixing occurs when companies set prices unfairly.
Fraud and Embezzlement,Fraud,Fraud involves deceiving people for financial gain.
Fraud and Embezzlement,Counterfeiting,Counterfeiting produces fake goods or currency.
Fraud and Embezzlement,Money laundering,Money laundering hides the illegal origins of money.
Business Ethics,Business ethics,Business ethics involve fairness and honesty in work.
Business Ethics,Corporate social responsibility,Corporate social responsibility focuses on ethical business practices.
Business Ethics,Discrimination,Discrimination in the workplace is illegal.
Time and Management,Time management,Time management helps improve efficiency at work.
Time and Management,Scheduling,Scheduling ensures tasks are completed on time.
Time and Management,Project deadlines,Project deadlines must be met to avoid delays.
Stress and Work-life Balance,Work-life balance,Work-life balance is important for employee well-being.
Stress and Work-life Balance,Burnout,Burnout results from excessive workplace stress.
Stress and Work-life Balance,Stress management,Stress management techniques help reduce anxiety.
Leadership and Management,Leadership,Leadership requires vision and decision-making skills.
Leadership and Management,Empowerment,Empowerment allows employees to make decisions.
Leadership and Management,Decision-making,Decision-making is key to effective management.
Career and Promotion,Career paths,Career paths define professional growth.
Career and Promotion,Promotion,Promotion leads to increased responsibility.
Career and Promotion,Retirement,Retirement marks the end of a working career.
Career and Promotion,Resign,Some employees resign for better opportunities.
Career and Promotion,Senior,Senior positions require years of experience.
Career and Promotion,Demoted,An employee can be demoted for poor performance.
Restructuring and Layoffs,Downsizing,Downsizing reduces company costs.
Restructuring and Layoffs,Efficiency,Efficiency improvements help avoid layoffs.
Restructuring and Layoffs,Restructuring,Restructuring changes company operations.
Restructuring and Layoffs,Profit,Increased profit can prevent layoffs.
