Category,Business Terms,Example Sentence
Retail,Store,She went to the store to buy some clothes.
Retail,Outlet,This factory outlet sells products at a discount.
Retail,Customer service,Good customer service makes clients happy.
Retail,Sales associate,The sales associate helped me find the right size.
Retail,Cash register,The cashier scanned my items at the cash register.
Retail,Discount,There is a 20% discount on all shoes this week.
Retail,Promotion,The store is running a promotion on laptops.
Retail,Browsing,She spent an hour browsing before buying anything.
Retail,Checkout,He paid for his groceries at the checkout.
Retail,Coupon,She used a coupon to save money on her purchase.
Ordering,Order,She placed an online order for a new phone.
Ordering,Rebate,The company offers a rebate on bulk purchases.
Ordering,Discount,They received a 10% discount for their first order.
Ordering,Invoice,The supplier sent the invoice for the last delivery.
Ordering,Receipt,Keep your receipt in case you need a refund.
Ordering,Stock,The store is out of stock on that product.
Ordering,Restocking fee,Returning an item may include a restocking fee.
Ordering,Refund,You can get a refund if you are not happy.
Ordering,Defective,The laptop did not work.
Invoicing,Invoice,The company received an invoice for the new supplies.
Invoicing,Payment,Payment is due within 30 days.
Invoicing,Outstanding balance,The client has an outstanding balance on their account.
Invoicing,Due date,The invoice has a due date of April 15th.
Invoicing,Overdue,The payment is overdue by two weeks.
Invoicing,Processing fee,There is a small processing fee for online payments.
Invoicing,Charge,The company will charge a late fee if payment is delayed.
Invoicing,Refund,She requested a refund after receiving a damaged item.
Invoicing,Statement,The monthly statement shows all transactions on the account.
Delivery,Shipment,The shipment will arrive in three days.
Delivery,Courier,The courier delivered the package this morning.
Delivery,Recipient,The recipient must sign for the package.
Delivery,Tracking number,You can check your order status with the tracking number.
Delivery,Express delivery,Express delivery takes only one day.
Delivery,Freight,The freight company transports large goods.
Delivery,Packaging,Good packaging protects fragile items during shipping.
Delivery,Dispatch,The warehouse will dispatch the orders by noon.
Delivery,Pick up,You can pick up your package at the store.
Delivery,Return policy,The store’s return policy allows free returns within 30 days.
Invoicing,Bill,The restaurant gave us the bill after dinner.
Invoicing,Invoice,The company received an invoice for the new supplies.
Invoicing,Payment,Payment is due within 30 days.
Invoicing,Outstanding balance,The client has an outstanding balance on their account.
Invoicing,Due date,The invoice has a due date of April 15th.
Invoicing,Overdue,The payment is overdue by two weeks.
Invoicing,Processing fee,There is a small processing fee for online payments.
Invoicing,Charge,The company will charge a late fee if payment is delayed.
Invoicing,Refund,She requested a refund after receiving a damaged item.
Invoicing,Statement,The monthly statement shows all transactions on the account.
Sales Techniques & Strategies,Upselling,The salesperson tried upselling a more expensive phone.
Sales Techniques & Strategies,Cross-selling,Amazon recommends products using cross-selling techniques.
Sales Techniques & Strategies,Sales pitch,The sales pitch convinced me to buy the product.
Sales Techniques & Strategies,Cold calling,Cold calling is a common strategy to find new customers.
Sales Techniques & Strategies,Negotiation,The buyer and seller had a long negotiation.
Sales Techniques & Strategies,Closing a deal,He successfully closed a deal with a new client.
Sales Techniques & Strategies,Lead generation,Lead generation helps find potential customers.
Sales Techniques & Strategies,Follow-up,The agent sent a follow-up email after the meeting.
Sales Techniques & Strategies,Customer retention,Customer retention is important for long-term business success.
Sales Techniques & Strategies,Sales funnel,A sales funnel shows the steps before a customer makes a purchase.
Category,Business Terms,Example Sentence
Sales Performance & Metrics,Sales target,The team met their sales target for the month.
Sales Performance & Metrics,Revenue,The company’s revenue increased by 10% last year.
Sales Performance & Metrics,Profit margin,A high profit margin means the company is making good money.
Sales Performance & Metrics,Sales quota,Each salesperson has a sales quota to reach.
Sales Performance & Metrics,Conversion rate,The website’s conversion rate improved after the redesign.
Sales Performance & Metrics,Customer acquisition cost,Lowering customer acquisition cost makes marketing more efficient.
Sales Performance & Metrics,Return on investment (ROI),The company measures ROI to evaluate success.
Sales Performance & Metrics,Sales forecast,The sales forecast predicts next quarter’s revenue.
Sales Performance & Metrics,Key Performance Indicator (KPI),KPIs help track business growth.
Sales Performance & Metrics,Customer lifetime value,Customer lifetime value shows how much a customer spends over time.
Customer Relations & Service,Customer satisfaction,Good service improves customer satisfaction.
Customer Relations & Service,Customer feedback,We use customer feedback to improve our services.
Customer Relations & Service,Customer complaints,The company handles customer complaints quickly.
Customer Relations & Service,After-sales service,Good after-sales service helps retain customers.
Customer Relations & Service,Loyalty program,A loyalty program rewards frequent buyers.
Customer Relations & Service,Refund policy,The store’s refund policy allows returns within 30 days.
Customer Relations & Service,Exchange policy,The exchange policy lets customers replace damaged items.
Customer Relations & Service,Personalized service,Personalized service makes customers feel valued.
Customer Relations & Service,24/7 support,The company offers 24/7 support for its customers.
Customer Relations & Service,Call center,The call center handles thousands of calls per day.
Category,Business Terms,Example Sentence
E-Commerce & Digital Sales,Online marketplace,Amazon is the largest online marketplace.
E-Commerce & Digital Sales,E-commerce,E-commerce has changed the way people shop.
